datapath_id,tx_bytes,rx_bytes,label
2,12900028454,19359558,0
2,38347552,25521373590,0
2,12621367682,18988972,0
2,0,0,0
1,38350512,25521370234,0
1,25521373590,38347552,0
1,0,0,0
4,12621373592,18981322,0
4,18984352,12621370476,0
4,0,0,0
3,17820,3932,0
3,18988972,12621367682,0
3,12621370476,18984352,0
3,0,0,0
1,38356602,25521376324,0
1,25521379680,38353642,0
1,0,0,0
2,12900034502,19365606,0
2,38353642,25521379680,0
2,12621375732,18997022,0
2,0,0,0
3,23826,9938,0
3,18997022,12621375732,0
3,12621376524,18990400,0
3,0,0,0
4,12621379640,18987370,0
4,18990400,12621376524,0
4,0,0,0
3,25590,11702,0
3,18999374,12621378084,0
3,12621378288,18992164,0
3,0,0,0
1,38358366,25521378088,0
1,25521381444,38355406,0
1,0,0,0
2,12900036336,19367370,0
2,38355406,25521381444,0
2,12621378084,18999374,0
2,0,0,0
4,12621381404,18989134,0
4,18992164,12621378288,0
4,0,0,0
1,38359584,25521379306,0
1,25521382662,38356624,0
1,0,0,0
2,12900037512,19368546,0
2,38356624,25521382662,0
2,12621379694,19000984,0
2,0,0,0
4,12621382622,18990352,0
4,18993382,12621379506,0
4,0,0,0
3,26850,12962,0
3,19000984,12621379694,0
3,12621379506,18993382,0
3,0,0,0
